No,feedback,gender,age,sportyear,cohnesion1,cohnesion2,cohnesion3,b1time,b2time,b3time,b1emotion,b2emotion,b3emotion,b1achieve,b2achieve,b3achieve,b1social,b2social,b3social,b1self,b2self,b3self,b1active,b2active,b3active,c1effective,c2effective,c3effective,d1interpersonal,d2interpersonal,d3interpersonal
1,1,1,20,8,3.555555556,5,5,3,3,3.333333333,4,4.333333333,3.666666667,4.666666667,4.666666667,4.666666667,3.666666667,4,4.666666667,3.666666667,4,4.666666667,5,4.333333333,5,4.166666667,4.333333333,4.833333333,4.714285714,4.714285714,5
2,0,0,20,3,3.777777778,4.333333333,4.777777778,4,4,4.666666667,3,3.666666667,4.666666667,5,4.666666667,5,3,4,4,3.333333333,4,4.666666667,5,4.666666667,5,4.333333333,4.5,4.833333333,3.714285714,4.571428571,4.857142857
3,1,1,20,5,4,5,4.555555556,3.333333333,3,5,4,3,5,4,3,5,3.666666667,3,5,4,3,5,4,3,5,3.5,4,4,3.714285714,3,4
4,0,1,20,10,3.222222222,4.888888889,4.888888889,3,4.333333333,4,3.666666667,4.666666667,4,3.666666667,4.666666667,4.333333333,3.333333333,4.333333333,5,3.333333333,5,5,4,4.666666667,5,4.666666667,4.666666667,5,4.857142857,4.857142857,4.857142857
5,0,0,20,5,4,4,3.777777778,3,3,3,4,3,3,4,4,4.333333333,3.666666667,4,3.666666667,4,4,3.666666667,4.666666667,4,4,3.833333333,3.166666667,3.833333333,4.285714286,4,4
6,0,1,20,12,3.888888889,4.222222222,4,3.666666667,3,3.333333333,3,3.666666667,2.333333333,4.666666667,5,3.333333333,2.333333333,3,2,4,4,4,3,4,3,3.666666667,3.5,2.833333333,3.571428571,3.571428571,3.714285714
7,1,1,20,0,3.777777778,4.333333333,3.777777778,4,3.666666667,4,2,3.333333333,4,4.666666667,4.666666667,4,3.666666667,3.666666667,4,2.333333333,3.666666667,4,3,3.666666667,4,3.666666667,3.5,3.166666667,4.142857143,4,3.857142857
9,1,0,20,4,4,5,5,3.666666667,3,4,4,3,4,4.333333333,3.666666667,4,3.666666667,2.333333333,4,5,3.666666667,4,5,4,4,4.5,4,4,4.714285714,4,4.142857143
10,1,0,20,2,3.777777778,4.333333333,4.555555556,2.333333333,3,3.666666667,3,4,4,3.666666667,4,4.333333333,3.666666667,4,3.666666667,4,5,5,3.666666667,4.666666667,3.666666667,4,3.5,4.166666667,4,5,4.571428571
11,0,0,20,3,3,3.777777778,3.777777778,3,4,3.666666667,2,4,3,4,5,5,3,3,4.666666667,4,5,4,4.666666667,5,4,4.666666667,5,4.5,3.857142857,4.142857143,4.285714286
12,1,1,20,6,3,4,3.777777778,2.666666667,4,3.666666667,5,5,3,5,5,5,5,3.666666667,4.666666667,4,4,4,5,4,4,4,4,4.5,4,4,4.285714286
13,0,0,20,0,4,4.888888889,4.666666667,3,4,4,2,4,4,4,5,5,4.333333333,5,5,4,4,4.333333333,4,4.666666667,4,4.166666667,4.5,4.5,5,5,5
14,0,1,20,13,3.888888889,4,4,3,4,4,4,4,4,3.333333333,4,4,3.333333333,4,4,3,4,4,3,4,4,3,3.666666667,4,3.857142857,4,4
15,0,1,20,3,2.555555556,3.444444444,3.777777778,3,3.333333333,4,4.333333333,3,4.666666667,3,3.333333333,4.333333333,3.666666667,3.333333333,3.666666667,3,4.333333333,4.333333333,2.666666667,3.333333333,3.666666667,3.5,3.666666667,3,3.714285714,3.571428571,3.142857143
16,1,1,20,2,3.555555556,4.222222222,5,3,3,4,2,3.333333333,4.333333333,3.666666667,3.666666667,5,2.333333333,3,3.666666667,4.333333333,4,4,4,2.666666667,3,3.666666667,3.333333333,3.333333333,4.285714286,3.428571429,3.571428571
17,0,1,20,12,4,5,5,3,3,5,3,3.666666667,5,3,3.333333333,5,2.333333333,3.666666667,5,3,4,5,3,4,5,4,3.333333333,5,3,5,5
18,0,0,20,7,3.777777778,4.666666667,4.888888889,3.333333333,4.333333333,3.666666667,4,2.666666667,3.666666667,3.333333333,4.333333333,5,4,4.666666667,4.666666667,3.666666667,4.666666667,4.666666667,4,4.333333333,4.666666667,4.5,4.5,4.833333333,5,4.714285714,5
19,0,1,20,9,4,5,4.777777778,3,3.333333333,3.666666667,3,3,3.666666667,4,4,3.666666667,3.666666667,3.666666667,4.333333333,3.666666667,4,4,4.333333333,4.333333333,4,4,5,4,5,3.857142857,5
20,1,0,20,12,3.888888889,4.555555556,4.111111111,4,3.666666667,5,3,2.666666667,5,4,5,5,4,4,5,3,3.666666667,5,4,4,5,4,4.166666667,4.5,4.857142857,4.428571429,4.857142857
21,1,1,20,7,3.888888889,5,5,4,4,4.333333333,3.666666667,4,4.333333333,4.666666667,4,5,5,5,4.666666667,5,4,4,4,4,5,4.666666667,4.166666667,5,5,5,5
22,0,1,20,8,4,5,4.333333333,3.666666667,3,4.666666667,4.333333333,4,4.666666667,4,4,5,4.666666667,4.666666667,4.666666667,4,4,5,4,5,5,3.833333333,3.833333333,3.5,5,5,4.285714286
23,0,1,20,12,4,4,5,4,4,5,4,4,5,4,4,5,4,4,5,4,4,5,4,4,5,4.833333333,4.333333333,5,4.571428571,4.571428571,5
24,0,1,20,6,3.555555556,5,4,3.333333333,4,3,3,4,3,3.333333333,4,3,4.333333333,4,4,4.666666667,4.666666667,3.666666667,4.333333333,5,3.666666667,4,4.5,3.666666667,4,5,4
25,1,1,20,8,3.222222222,3.111111111,4,4.333333333,2.666666667,4,3.333333333,3.666666667,4,4.666666667,3.666666667,4,4,2.333333333,3.666666667,5,3,3,5,2.666666667,3.666666667,5,2.833333333,2.833333333,4.428571429,3,3
26,1,0,20,6,3.666666667,4.555555556,4.555555556,4.333333333,4,4.333333333,3.333333333,4.333333333,4.333333333,4.666666667,5,4.333333333,4.333333333,4,3.333333333,4.333333333,4,4,4.666666667,4,4,4.333333333,4.666666667,4.5,4.142857143,4.142857143,4.571428571
27,1,1,20,5,3.555555556,3.888888889,4.111111111,4,4,3.666666667,3.666666667,4.333333333,4.333333333,4,3.666666667,3.666666667,3.333333333,4,4,4.333333333,4.666666667,4.333333333,4.333333333,4.333333333,4,4,3.833333333,4,4.285714286,4,4.142857143
28,0,0,20,0,3.666666667,3.222222222,4.333333333,4.333333333,4.333333333,4,4,3.333333333,3.666666667,3.333333333,3.666666667,3.666666667,4.666666667,3,3.333333333,4.333333333,3.666666667,3.666666667,4.666666667,3,3.666666667,4.5,3.166666667,4.333333333,3.714285714,3.428571429,4.285714286
29,1,1,20,0,3,3.333333333,3.888888889,2.333333333,3.666666667,4,1.666666667,2.333333333,2.333333333,4,4.666666667,3.666666667,2.333333333,2.333333333,3,2.666666667,2.333333333,3.333333333,4,3,3.666666667,3.5,4,4.333333333,3.571428571,3.857142857,3.857142857
30,0,1,20,11,3.444444444,4.666666667,4.777777778,2.666666667,3.666666667,4.333333333,3,4.333333333,4.666666667,4,4.333333333,4.333333333,4.333333333,4.333333333,4.666666667,4,4.666666667,4.666666667,3,4.333333333,4.666666667,3,4.166666667,4.666666667,4.714285714,4.571428571,5
31,0,0,20,7,3.888888889,5,5,3,4,5,5,5,5,4.666666667,5,4.333333333,4,3.666666667,4.666666667,4.333333333,5,4,4,5,5,4.333333333,4.5,4.5,4.857142857,5,4.714285714
33,0,0,20,6,3.777777778,3.666666667,4.555555556,3,3,3.333333333,3,3.333333333,3,4,3.666666667,3.666666667,3.333333333,3.666666667,3.666666667,4,4,3.333333333,4,4,3.666666667,3.833333333,4,3.666666667,4.285714286,4.857142857,4.285714286
34,1,1,20,0,4,5,5,3.333333333,2.666666667,5,3,5,5,3.666666667,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4.142857143,5,5
35,1,0,20,0,4,4,3.444444444,4,3,4,4,3.666666667,4.666666667,4,3.666666667,4,4,3,4,4,3,4,4,3.333333333,4,4,4,4.333333333,4,4,4.428571429
36,1,1,24,0,3.111111111,4,2.555555556,4,4,3,3,4,2.333333333,3.333333333,4,2,3.333333333,4,2,4,4,2,4,4,3,4,4,4,3.428571429,4,4
37,0,0,23,3,4,5,4,3,4,3.333333333,2.333333333,4,3,3.666666667,4,4.333333333,3,4,4,3.333333333,3,3.666666667,3,3,4,3.833333333,4.166666667,4,3.857142857,4.428571429,4.142857143
38,1,1,21,5,4,4,4.444444444,3,3.333333333,3.333333333,3.333333333,3.333333333,4.666666667,3.333333333,3.666666667,4,3,3.333333333,4,3.666666667,3.333333333,4.333333333,3.666666667,3.666666667,3.666666667,4.166666667,4,3.833333333,4.285714286,4.142857143,4.428571429
41,0,1,22,8,3.555555556,5,5,4.333333333,4,4.333333333,4.666666667,4,4.333333333,4,4.666666667,4.666666667,4,4.333333333,4.666666667,5,4.666666667,4.333333333,5,4.666666667,4.666666667,4.5,4,4.166666667,5,5,4.428571429
42,1,1,23,1,4.777777778,4.111111111,4,5,4,4.333333333,5,4,4,5,4.666666667,4,4,4,4,5,4,4,5,4,4,5,4,4.666666667,4.428571429,4.571428571,4
